covariance_type,n_components,iteration,precision,recall,f1-score
spherical,1,1,0.19106188137431904,0.057960105382009783,0.020584735834371433
spherical,1,2,0.23065707882599989,0.05871283402333459,0.029363976656658176
spherical,1,3,0.22617358791784503,0.060594655626646593,0.028653217090039502
spherical,2,1,0.27597262198767536,0.081671057583741061,0.048720454000229313
spherical,2,2,0.26564777187276062,0.089198343996989088,0.047660525909961254
spherical,2,3,0.37062362020410872,0.088069251035001878,0.046898691306417009
spherical,3,1,0.31574804497393055,0.12984569062852841,0.11502193158745046
spherical,3,2,0.28206175459203597,0.10538200978547234,0.090795935611092018
spherical,3,3,0.29483229388386711,0.097854723372224311,0.05842917759804566
spherical,4,1,0.25160104432779673,0.10462928114414753,0.073776616247295021
spherical,4,2,0.25945541375070424,0.13436206247647722,0.11387943246920894
spherical,4,3,0.31170104254139308,0.14791117802032366,0.14187424431105092
spherical,5,1,0.24986044438942873,0.090327436958976284,0.057217888201842114
spherical,5,2,0.25988840988856948,0.17764395935265337,0.18120624501710533
spherical,5,3,0.25731939248636243,0.17237485886337975,0.17261144323534738
spherical,6,1,0.33564281509359034,0.1290929619872036,0.084531445227327792
spherical,6,2,0.30585720811278799,0.17689123071132856,0.15539897254036056
spherical,6,3,0.26074964495211023,0.16710575837410613,0.12396298636143749
spherical,7,1,0.25080664809197922,0.12796386902521642,0.088294965105053219
spherical,7,2,0.26381471115856564,0.1840421528039142,0.17867070821242695
spherical,7,3,0.2799298635305707,0.1874294316898758,0.17211947265238237
spherical,8,1,0.30158073464930518,0.18140760255927738,0.16789737759370321
spherical,8,2,0.25178905909568927,0.2190440346255175,0.21674129181813706
spherical,8,3,0.28868685929391363,0.20210764019570945,0.21396252272751037
spherical,9,1,0.31944492644621569,0.18178396687993978,0.19117195553361174
spherical,9,2,0.2342073776614782,0.15619119307489651,0.13336935273692366
spherical,9,3,0.34330422828099544,0.22054949190816711,0.22837296518213468
spherical,10,1,0.32238142710580991,0.251411366202484,0.26234663298898969
spherical,10,2,0.34093226143116051,0.16447120812946933,0.17418665495024294
spherical,10,3,0.30493659189551564,0.18893488897252542,0.19021121151297646
spherical,11,1,0.2980590141810921,0.23635679337598794,0.24254665989995272
spherical,11,2,0.31888341962011391,0.21866767030485509,0.22962597067658788
spherical,11,3,0.30588129166852335,0.23259315016936394,0.24127447907146299
spherical,12,1,0.31192480226998587,0.17538577342867895,0.1883812178774541
spherical,12,2,0.29683977582309085,0.20286036883703426,0.20648114463887637
spherical,12,3,0.3498793895998169,0.20963492660895747,0.22156952841083316
spherical,13,1,0.29360223142937697,0.18554761008656379,0.18747334841627816
spherical,13,2,0.29735980684984203,0.17689123071132856,0.17938501572771395
spherical,13,3,0.31967741727269428,0.23673315769665035,0.24539512400363647
spherical,14,1,0.27190547157922518,0.15732028603688369,0.15368170627120095
spherical,14,2,0.31362017446283091,0.19872036130974782,0.19705513131308222
spherical,14,3,0.30561082889434171,0.17199849454271735,0.14687985934613454
spherical,15,1,0.29786028274646226,0.17651486639066616,0.18823929497740627
spherical,15,2,0.31908340098714527,0.21716221302220551,0.22683487469872943
spherical,15,3,0.33920754578887524,0.19081671057583741,0.19598272766461078
spherical,16,1,0.30984814686654005,0.17312758750470456,0.17265787245429112
spherical,16,2,0.30746204365858709,0.1580730146782085,0.16326325990167484
spherical,16,3,0.29961570794180425,0.17350395182536696,0.16837694814545737
spherical,17,1,0.31130918074489788,0.15129845690628529,0.15044005301601479
spherical,17,2,0.34626144415642918,0.17199849454271735,0.1735140152546937
spherical,17,3,0.33179622479435383,0.14490026345502446,0.12415751818508763
spherical,18,1,0.34562145724275228,0.18291305984192699,0.18320513576241662
spherical,18,2,0.29506890096496025,0.16409484380880693,0.14701381470558386
spherical,18,3,0.31569992266410218,0.16409484380880693,0.15093989029543123
spherical,19,1,0.32274253197722619,0.1546857357922469,0.14775068495591348
spherical,19,2,0.32529476001741436,0.16409484380880693,0.16342651726199428
spherical,19,3,0.35880858803795457,0.21791494166353029,0.22675492960748855
spherical,20,1,0.36533488846881268,0.17990214527662779,0.1775443552615063
spherical,20,2,0.27270945447928657,0.15619119307489651,0.14413744546820992
spherical,20,3,0.32486862132417033,0.17500940910801657,0.1690315558759159
spherical,21,1,0.35082763280634477,0.16409484380880693,0.16508358529533662
spherical,21,2,0.21825827843141729,0.13097478359051562,0.10708435257976383
spherical,21,3,0.32788315038563348,0.14640572073767408,0.13200973980979167
spherical,22,1,0.33270772229489814,0.15355664283025969,0.14457323705924682
spherical,22,2,0.29076791052252815,0.1550621001129093,0.14732511072127999
spherical,22,3,0.35473769718692183,0.17914941663530298,0.18561049934879675
spherical,23,1,0.29294273948649407,0.16635302973278132,0.15727756797684903
spherical,23,2,0.33561042364003996,0.16974030861874295,0.16261633082435636
spherical,23,3,0.28346776098555265,0.14640572073767408,0.1295130293702125
spherical,24,1,0.32702623890908084,0.16560030109145654,0.16225989589621367
spherical,24,2,0.31576032836735646,0.14866390666164847,0.12964183800366405
spherical,24,3,0.35125747348915159,0.16785848701543093,0.15743253442052466
spherical,25,1,0.32862892520436587,0.1580730146782085,0.14906304535881773
spherical,25,2,0.33669914231733883,0.16936394429808055,0.1611405030783313
spherical,25,3,0.32430301331806427,0.16409484380880693,0.15930982318234629
spherical,26,1,0.34047362614603405,0.16409484380880693,0.15601959548267172
spherical,26,2,0.32038546093492815,0.17162213022205494,0.16254959058727325
spherical,26,3,0.31471064340632965,0.16296575084681972,0.15448704277946429
spherical,27,1,0.34783023582309514,0.16936394429808055,0.16416370262009394
spherical,27,2,0.341234809935406,0.15656755739555889,0.14801494914233174
spherical,27,3,0.30278443074448252,0.16748212269476853,0.16899971510028264
spherical,28,1,0.30290452691976105,0.15882574331953331,0.15052009105201566
spherical,28,2,0.31924916272377507,0.15995483628152052,0.14527428905563827
spherical,28,3,0.29889799112664678,0.15129845690628529,0.13689042381601399
spherical,29,1,0.34096334175429438,0.16409484380880693,0.15489766081303324
spherical,29,2,0.31943261766699005,0.16710575837410613,0.16260625914231813
spherical,29,3,0.30469189951883263,0.1614602935641701,0.15745823669564915
spherical,30,1,0.31277162243462231,0.15016936394429808,0.1345571913924227
spherical,30,2,0.31162630563223359,0.16635302973278132,0.15802870533033658
spherical,30,3,0.26098954566936317,0.15920210764019571,0.13392165643813583
spherical,31,1,0.29828318445849766,0.16710575837410613,0.14417918041585737
spherical,31,2,0.30915339377979062,0.16409484380880693,0.13242692540495013
spherical,31,3,0.29933067114586964,0.15129845690628529,0.13192630454708637
spherical,32,1,0.30707502449586682,0.17689123071132856,0.15844126917489584
spherical,32,2,0.30632561914031231,0.16522393677079414,0.14962471119807516
spherical,32,3,0.31874349150776787,0.17237485886337975,0.16105249174734038
