covariance_type,n_components,iteration,precision,recall,f1-score
spherical,1,1,0.74604938726308068,0.65223936770794133,0.66072620638501878
spherical,1,2,0.67597531804284039,0.62627022958223555,0.61166391324915736
spherical,1,3,0.65216109056666216,0.6089574708317651,0.58102384236145854
spherical,2,1,0.73814131769739488,0.65637937523522771,0.64802474261318277
spherical,2,2,0.74110931941309244,0.65562664659390291,0.64603693774374149
spherical,2,3,0.80880864534396346,0.76853594279262327,0.77567803903229859
spherical,3,1,0.81884805483511547,0.78095596537448253,0.78806805716676365
spherical,3,2,0.83342757657933519,0.79149416635302972,0.79929980916543864
spherical,3,3,0.8255236946042841,0.79262325931501698,0.79983675041994073
spherical,4,1,0.82944026571534712,0.78020323673315772,0.78721309848260002
spherical,4,2,0.8579210990264553,0.82235604064734669,0.83154925566684612
spherical,4,3,0.84418695169544677,0.81294693263078666,0.82093508593738451
spherical,5,1,0.82357475147570414,0.78095596537448253,0.78635889729067898
spherical,5,2,0.85164804393416038,0.82611968385397061,0.83345033461850782
spherical,5,3,0.85921479238947951,0.8359051561911931,0.84267730378116834
spherical,6,1,0.86473800517837374,0.83741061347384271,0.84451289953206388
spherical,6,2,0.86587654280270643,0.83891607075649233,0.84627663920126328
spherical,6,3,0.85888770866628472,0.8359051561911931,0.84289150262768409
spherical,7,1,0.85388149813724179,0.79450508091832894,0.80343277066257968
spherical,7,2,0.86824660083981364,0.84192698532179144,0.84911864270973036
spherical,7,3,0.85949404659377415,0.83665788483251791,0.84322680939382777
spherical,8,1,0.86145300976416184,0.82913059841926984,0.8373663773421931
spherical,8,2,0.87494284267290046,0.84945427173503951,0.85626271351109251
spherical,8,3,0.86457401401310197,0.83552879187053064,0.84326711986631953
spherical,9,1,0.87912737913980143,0.8599924727135867,0.86490818988745155
spherical,9,2,0.88182234624257827,0.86789612344749723,0.87177125361054197
spherical,9,3,0.8791997569295823,0.85284155062100109,0.8588307359420253
spherical,10,1,0.87283501626950855,0.84456153556642832,0.85251616977824041
spherical,10,2,0.87146932928157217,0.84757245013172755,0.85380667972955304
spherical,10,3,0.88456510715000181,0.87015430937147153,0.87407218292015976
spherical,11,1,0.88649665770859976,0.86977794505080919,0.87455744009485159
spherical,11,2,0.88402579286681537,0.8607452013549115,0.8667747540235764
spherical,11,3,0.87055610914403647,0.85171245765901393,0.85753554696153889
spherical,12,1,0.89155295398635037,0.87805796010538206,0.88165275399122656
spherical,12,2,0.89713942823964599,0.88144523899134364,0.88586953153547199
spherical,12,3,0.89628823651283218,0.88219796763266844,0.88618332120606125
spherical,13,1,0.8865145284319903,0.87655250282273245,0.87979955717640623
spherical,13,2,0.89333997576595803,0.88370342491531806,0.88649074546144024
spherical,13,3,0.89095858719885346,0.8769288671433948,0.88072233557342028
spherical,14,1,0.87169330458553662,0.85698155814828758,0.86113607438206319
spherical,14,2,0.89403794452124341,0.87956341738803157,0.88356023579636345
spherical,14,3,0.89057395367722825,0.87956341738803157,0.88242762920161011
spherical,15,1,0.89160285260953842,0.87655250282273245,0.8804579657060233
spherical,15,2,0.88899504472902413,0.8776815957847196,0.88120435159017485
spherical,15,3,0.89319774473742286,0.87993978170869402,0.88368782672444335
spherical,16,1,0.89403710514837686,0.88633797515995483,0.88872346532662361
spherical,16,2,0.89611242467823149,0.88295069627399325,0.88674367329616222
spherical,16,3,0.89000257004843597,0.87918705306736922,0.88238311164708927
spherical,17,1,0.90072052658468438,0.89311253293187809,0.89545681018014789
spherical,17,2,0.89487514512090705,0.87805796010538206,0.88214343680364105
spherical,17,3,0.90012512495079411,0.8889725254045916,0.89236762801792768
spherical,18,1,0.90239935221339362,0.89574708317651486,0.89776576215015758
spherical,18,2,0.89909862860995204,0.89198343996989082,0.89424908326730801
spherical,18,3,0.89871338002338519,0.8889725254045916,0.89206854777820765
spherical,19,1,0.89954536815440744,0.89235980429055328,0.89475575462633217
spherical,19,2,0.89701722691208552,0.88445615355664287,0.88793854882688394
spherical,19,3,0.90123172567388088,0.89687617613850212,0.89841755988201022
spherical,20,1,0.90917858411358055,0.89762890477982682,0.90111685866301716
spherical,20,2,0.90168022356697919,0.89273616861121563,0.89553516158271729
spherical,20,3,0.89283426319940384,0.88219796763266844,0.88533521244302738
spherical,21,1,0.90821577433713552,0.90176891230711331,0.90364076718939101
spherical,21,2,0.90257473354527562,0.8946179902145277,0.8968064590074093
spherical,21,3,0.90216737150697734,0.89235980429055328,0.89510120475700417
spherical,22,1,0.90406065918951151,0.89649981181783966,0.8989606326631705
spherical,22,2,0.89835784227519622,0.89235980429055328,0.89437439103305072
spherical,22,3,0.89962426398658257,0.8897252540459164,0.89274626450622541
spherical,23,1,0.90316533479767913,0.8938652615732029,0.89646698426056504
spherical,23,2,0.89645315099665968,0.88709070380127963,0.88967100764389517
